,price,property_type,bedrooms,bathrooms_text,beds,neighbourhood_cleansed
2879,165.0,Entire bungalow,2.0,1.0,2.0,Speer
2881,67.0,Entire rental unit,1.0,1.0,1.0,Speer
2882,92.0,Entire condominium (condo),1.0,1.5,1.0,Rosedale
2883,225.0,Entire townhouse,1.0,1.0,1.0,Sloan Lake
2884,249.0,Entire guesthouse,1.0,1.5,0.0,Cole
2885,72.0,Private room in residential home,1.0,1.0,1.0,Harvey Park
2886,143.0,Entire serviced apartment,1.0,1.0,1.0,Highland
2887,137.0,Entire rental unit,2.0,1.0,2.0,West Highland
2888,104.0,Entire rental unit,1.0,1.0,1.0,West Highland
2889,105.0,Entire rental unit,1.0,1.0,1.0,West Highland
2890,119.0,Entire rental unit,1.0,1.0,1.0,West Highland
2891,96.0,Entire rental unit,1.0,1.0,1.0,West Highland
2892,152.0,Entire townhouse,3.0,3.5,3.0,North Park Hill
2893,88.0,Entire residential home,1.0,1.0,2.0,Ruby Hill
2894,75.0,Entire rental unit,1.0,1.0,1.0,Baker
2895,52.0,Entire rental unit,1.0,1.0,1.0,Baker
2896,210.0,Entire residential home,2.0,1.0,3.0,Villa Park
2897,156.0,Entire residential home,2.0,1.0,2.0,Berkeley
2898,128.0,Entire townhouse,1.0,3.5,1.0,West Colfax
2899,140.0,Entire condominium (condo),2.0,1.5,2.0,Cheesman Park
2900,229.0,Religious building,1.0,1.5,1.0,Athmar Park
2901,116.0,Entire guesthouse,1.0,1.0,2.0,Cole
2902,223.0,Entire residential home,2.0,1.0,2.0,Barnum West
2903,115.0,Entire guest suite,1.0,1.0,1.0,Regis
2904,40.0,Private room in residential home,1.0,1.0,1.0,Gateway - Green Valley Ranch
2905,36.0,Private room in townhouse,2.0,1.5,1.0,Stapleton
2906,142.0,Entire residential home,2.0,1.0,3.0,West Highland
2907,176.0,Entire serviced apartment,1.0,1.0,1.0,Civic Center
2909,65.0,Entire condominium (condo),1.0,1.0,1.0,Highland
2910,115.0,Entire rental unit,2.0,1.0,2.0,Highland
2911,156.0,Entire guesthouse,2.0,1.0,3.0,Sunnyside
2912,106.0,Entire guesthouse,1.0,1.0,2.0,West Highland
2913,181.0,Entire loft,1.0,1.0,1.0,Union Station
2914,110.0,Entire bungalow,2.0,1.0,3.0,Lincoln Park
2916,200.0,Entire townhouse,3.0,2.0,4.0,North Capitol Hill
2917,150.0,Entire rental unit,2.0,1.0,2.0,West Highland
2918,235.0,Entire rental unit,1.0,1.0,1.0,Union Station
2919,150.0,Entire condominium (condo),2.0,2.0,3.0,Five Points
2920,200.0,Entire residential home,3.0,2.5,3.0,Lowry Field
2921,165.0,Entire rental unit,2.0,1.5,3.0,Five Points
2923,249.0,Entire residential home,3.0,2.0,3.0,Five Points
2924,67.0,Private room in residential home,1.0,1.0,1.0,East Colfax
2925,211.0,Entire serviced apartment,1.0,1.0,1.0,Cherry Creek
2926,542.0,Entire residential home,5.0,4.5,7.0,Highland
2927,95.0,Entire guest suite,1.0,1.0,1.0,Highland
2928,100.0,Entire condominium (condo),2.0,1.0,2.0,North Capitol Hill
